date_and_time,number_of_taxi_trips,trend,seasonal_24,seasonal_168,resid,temperature,precipitation,wind_speed,precip_log,gamm_pred,ar_resid_pred,gammm_pred
2024-01-21 19:00:00,886,681.1662791195404,375.7588327506423,-205.57123067588768,34.64611880570499,-8.3,0.0,22.3,0.0,16.291083551608786,53.75527909285233,70.04636264446111
2024-01-21 20:00:00,813,681.6253482777151,108.72525744577317,-91.2676528317308,113.91704710824251,-7.2,0.0,22.3,0.0,18.174942132893086,12.60999540805957,30.784937540952654
2024-01-21 21:00:00,588,682.0679877651165,-91.463890166295,-27.610101118576463,25.006003519754927,-6.7,0.0,16.6,0.0,14.39918534680671,71.49785725383131,85.89704260063803
2024-01-21 22:00:00,409,682.4940533917625,-232.41800245228,-43.58151485721923,2.5054639177367335,-7.2,0.0,16.6,0.0,13.61023735714469,6.457384474081787,20.06762183122648
2024-01-21 23:00:00,339,682.9034192805909,-339.41598169796345,6.180950982506544,-10.668388565134023,-7.2,0.0,22.3,0.0,18.174942132893086,-8.49167765206882,9.683264480824267
2024-01-22 00:00:00,220,683.2959828567276,-464.8799171579894,42.20257354495373,-40.61863924369197,-6.7,0.0,20.5,0.0,17.281627615283995,-21.452420950909236,-4.170793335625241
2024-01-22 01:00:00,116,683.6716642498116,-569.1616213708995,34.40041740396297,-32.910460282874965,-7.2,0.0,20.5,0.0,16.492679625621975,-42.961391357594664,-26.46871173197269
2024-01-22 02:00:00,47,684.0304119385678,-624.1138685031092,35.078475352949084,-47.99501878840772,-7.2,0.0,20.5,0.0,16.492679625621975,-36.13669671121035,-19.644017085588374
2024-01-22 03:00:00,48,684.37221099216,-636.824108889541,20.75737435809023,-20.305476460709315,-6.7,0.0,25.9,0.0,18.752921232380615,-47.57934753390498,-28.826426301524364
2024-01-22 04:00:00,56,684.6970741989162,-621.1141085259353,9.449767326772488,-17.03273299975342,-6.7,0.0,22.3,0.0,18.963890122555114,-28.27764156895372,-9.313751446398605
